H|Hydrogen
He|Helium
Li|Lithium
Be|Beryllium
B|Boron
C|Carbon
N|Nitrogen
O|Oxygen
F|Flourine
Ne|Neon
Na|Sodium
Mg|Magnesium
Al|Aluminum
Si|Silicon
P|Phosphorus
S|Sulfur
Cl|Chlorine
Ar|Argon
K|Potassium
Ca|Calcium
Sc|Scandium
Ti|Titanium
V|Vanadium
Cr|Chromium
Mn|Manganese
Fe|Iron
Co|Cobalt
Ni|Nickel
Cu|Copper
Zn|Zinc
Ga|Gallium
Ge|Germanium
As|Arsenic
Se|Selenium
Br|Bromine
Kr|Krypton
Tc|Technetium
Ag|Silver
Sn|Tin
I|Iodine
Ba|Barium
Pt|Platinum
Au|Gold
Hg|Mercury
Pb|Lead
Rn|Radon
U|Uranium
Pu|Plutonium
Hydrogen|H
Helium|He
Lithium|Li
Beryllium|Be
Boron|B
Carbon|C
Nitrogen|N
Oxygen|O
Flourine|F
Neon|Ne
Sodium|Na
Magnesium|Mg
Aluminum|Al
Silicon|Si
Phosphorus|P
Sulfur|S
Chlorine|Cl
Argon|Ar
Potassium|K
Calcium|Ca
Scandium|Sc
Titanium|Ti
Vanadium|V
Chromium|Cr
Manganese|Mn
Iron|Fe
Cobalt|Co
Nickel|Ni
Copper|Cu
Zinc|Zn
Gallium|Ga
Germanium|Ge
Arsenic|As
Selenium|Se
Bromine|Br
Krypton|Kr
Technetium|Tc
Silver|Ag
Tin|Sn
Iodine|I
Barium|Ba
Platinum|Pt
Gold|Au
Mercury|Hg
Lead|Pb
Radon|Rn
Uranium|U
Plutonium|Pu
